行,列,经度,纬度,起始月份,结束月份,持续月数,累积强度
12,14,114.0,33.25,2019-05,2019-05,1,1.2387
12,14,114.0,33.25,2020-05,2020-05,1,1.3439
12,14,114.0,33.25,2024-05,2024-05,1,1.0931
12,14,114.0,33.25,2025-04,2025-04,1,1.5927
12,15,114.25,33.25,2019-05,2019-05,1,1.3068
12,15,114.25,33.25,2020-05,2020-05,1,1.3284
12,15,114.25,33.25,2024-05,2024-05,1,1.185
12,15,114.25,33.25,2025-04,2025-04,1,1.6175
12,16,114.5,33.25,2019-05,2019-05,1,1.2204
12,16,114.5,33.25,2020-04,2020-05,2,2.3126
12,16,114.5,33.25,2024-05,2024-05,1,1.2756
12,16,114.5,33.25,2025-04,2025-04,1,1.6142
12,17,114.75,33.25,2019-05,2019-05,1,1.155
12,17,114.75,33.25,2020-04,2020-05,2,2.3305
12,17,114.75,33.25,2024-05,2024-05,1,1.2818
12,17,114.75,33.25,2025-04,2025-04,1,1.7816
12,18,115.0,33.25,2019-05,2019-05,1,1.0993
12,18,115.0,33.25,2020-04,2020-05,2,2.1583
12,18,115.0,33.25,2024-05,2024-05,1,1.2951
12,18,115.0,33.25,2025-04,2025-04,1,1.9288
12,19,115.25,33.25,2019-05,2019-05,1,1.0729
12,19,115.25,33.25,2022-05,2022-05,1,1.0748
12,19,115.25,33.25,2024-05,2024-05,1,1.2638
12,19,115.25,33.25,2025-04,2025-04,1,1.948
13,4,111.5,33.0,2019-05,2019-05,1,1.2481
13,4,111.5,33.0,2020-05,2020-05,1,1.1403
13,4,111.5,33.0,2025-04,2025-05,2,2.9374
13,5,111.75,33.0,2019-05,2019-05,1,1.2954
13,5,111.75,33.0,2020-05,2020-05,1,1.273
13,5,111.75,33.0,2025-04,2025-04,1,1.7305
13,6,112.0,33.0,2019-05,2019-05,1,1.3069
13,6,112.0,33.0,2020-05,2020-05,1,1.181
13,6,112.0,33.0,2025-04,2025-04,1,1.5188
13,7,112.25,33.0,2019-05,2019-05,1,1.2631
13,7,112.25,33.0,2020-04,2020-05,2,2.3404
13,7,112.25,33.0,2025-04,2025-04,1,1.5802
13,8,112.5,33.0,2019-05,2019-05,1,1.2541
13,8,112.5,33.0,2020-04,2020-05,2,2.4069
13,8,112.5,33.0,2025-04,2025-04,1,1.7479
13,9,112.75,33.0,2019-05,2019-05,1,1.2746
13,9,112.75,33.0,2020-04,2020-05,2,2.2931
13,9,112.75,33.0,2025-04,2025-04,1,1.8528
13,10,113.0,33.0,2019-05,2019-05,1,1.3292
13,10,113.0,33.0,2020-05,2020-05,1,1.2519
13,10,113.0,33.0,2025-04,2025-04,1,1.8174
13,11,113.25,33.0,2019-05,2019-05,1,1.3006
13,11,113.25,33.0,2020-05,2020-05,1,1.2841
13,11,113.25,33.0,2025-04,2025-04,1,1.9203
13,12,113.5,33.0,2019-05,2019-05,1,1.3539
13,12,113.5,33.0,2020-05,2020-05,1,1.3208
13,12,113.5,33.0,2025-04,2025-04,1,1.891
13,13,113.75,33.0,2019-05,2019-05,1,1.3946
13,13,113.75,33.0,2020-05,2020-05,1,1.359
13,13,113.75,33.0,2025-04,2025-04,1,1.73
13,14,114.0,33.0,2019-05,2019-05,1,1.352
13,14,114.0,33.0,2020-05,2020-05,1,1.4291
13,14,114.0,33.0,2025-04,2025-04,1,1.6508
13,15,114.25,33.0,2019-05,2019-05,1,1.1852
13,15,114.25,33.0,2020-04,2020-05,2,2.7122
13,15,114.25,33.0,2024-05,2024-05,1,1.1776
13,15,114.25,33.0,2025-04,2025-04,1,1.7228
13,16,114.5,33.0,2019-05,2019-05,1,1.0012
13,16,114.5,33.0,2020-04,2020-05,2,2.8557
13,16,114.5,33.0,2024-05,2024-05,1,1.2401
13,16,114.5,33.0,2025-04,2025-04,1,1.8036
13,17,114.75,33.0,2019-05,2019-05,1,1.016
13,17,114.75,33.0,2020-04,2020-05,2,2.7634
13,17,114.75,33.0,2024-05,2024-05,1,1.2581
13,17,114.75,33.0,2025-04,2025-04,1,1.8831
14,4,111.5,32.75,2020-05,2020-05,1,1.1591
14,4,111.5,32.75,2025-04,2025-05,2,3.2664
14,5,111.75,32.75,2019-05,2019-05,1,1.0044
14,5,111.75,32.75,2020-05,2020-05,1,1.421
14,5,111.75,32.75,2025-04,2025-04,1,1.9414
14,6,112.0,32.75,2019-05,2019-05,1,1.0351
14,6,112.0,32.75,2020-05,2020-05,1,1.5491
14,6,112.0,32.75,2025-04,2025-04,1,1.6793
14,7,112.25,32.75,2019-05,2019-05,1,1.0337
14,7,112.25,32.75,2020-05,2020-05,1,1.3893
14,7,112.25,32.75,2025-04,2025-04,1,1.6774
14,8,112.5,32.75,2019-05,2019-05,1,1.078
14,8,112.5,32.75,2020-05,2020-05,1,1.3262
14,8,112.5,32.75,2025-04,2025-04,1,1.6838
14,9,112.75,32.75,2019-05,2019-05,1,1.0393
14,9,112.75,32.75,2020-05,2020-05,1,1.3518
14,9,112.75,32.75,2025-04,2025-04,1,1.7203
14,10,113.0,32.75,2020-05,2020-05,1,1.4604
14,10,113.0,32.75,2024-05,2024-05,1,1.0316
14,10,113.0,32.75,2025-04,2025-04,1,1.8212
14,11,113.25,32.75,2020-05,2020-05,1,1.6859
14,11,113.25,32.75,2025-04,2025-04,1,1.9251
14,12,113.5,32.75,2019-05,2019-05,1,1.0731
14,12,113.5,32.75,2020-05,2020-05,1,1.7318
14,12,113.5,32.75,2025-04,2025-04,1,2.0374
14,13,113.75,32.75,2019-05,2019-05,1,1.1385
14,13,113.75,32.75,2020-05,2020-05,1,1.7483
14,13,113.75,32.75,2025-04,2025-04,1,1.9687
14,14,114.0,32.75,2019-05,2019-05,1,1.1522
14,14,114.0,32.75,2020-05,2020-05,1,1.7559
14,14,114.0,32.75,2025-04,2025-04,1,1.8119
14,15,114.25,32.75,2019-05,2019-05,1,1.1275
14,15,114.25,32.75,2020-04,2020-05,2,2.9398
14,15,114.25,32.75,2025-04,2025-04,1,1.6561
14,16,114.5,32.75,2019-05,2019-05,1,1.0171
14,16,114.5,32.75,2020-04,2020-05,2,2.7956
14,16,114.5,32.75,2025-04,2025-04,1,1.6911
14,17,114.75,32.75,2020-04,2020-05,2,2.7239
14,17,114.75,32.75,2025-04,2025-04,1,1.8047
14,18,115.0,32.75,2019-05,2019-05,1,1.015
14,18,115.0,32.75,2020-05,2020-05,1,1.6091
14,18,115.0,32.75,2025-04,2025-04,1,1.9002
15,6,112.0,32.5,2020-04,2020-05,2,2.4219
15,6,112.0,32.5,2024-05,2024-05,1,1.2999
15,6,112.0,32.5,2025-04,2025-04,1,1.8889
15,7,112.25,32.5,2019-05,2019-05,1,1.0302
15,7,112.25,32.5,2020-04,2020-05,2,2.5751
15,7,112.25,32.5,2025-04,2025-04,1,1.7415
15,8,112.5,32.5,2019-05,2019-05,1,1.1187
15,8,112.5,32.5,2020-04,2020-05,2,2.5625
15,8,112.5,32.5,2025-04,2025-04,1,1.7431
15,9,112.75,32.5,2019-05,2019-05,1,1.0765
15,9,112.75,32.5,2020-05,2020-05,1,1.5884
15,9,112.75,32.5,2025-04,2025-04,1,1.9123
15,10,113.0,32.5,2020-05,2020-05,1,1.7517
15,10,113.0,32.5,2024-05,2024-05,1,1.0021
15,10,113.0,32.5,2025-04,2025-04,1,2.1521
15,11,113.25,32.5,2019-05,2019-05,1,1.2725
15,11,113.25,32.5,2020-05,2020-05,1,1.816
15,11,113.25,32.5,2025-04,2025-04,1,2.1716
15,12,113.5,32.5,2019-05,2019-05,1,1.2628
15,12,113.5,32.5,2020-05,2020-05,1,1.7765
15,12,113.5,32.5,2025-04,2025-04,1,2.279
15,13,113.75,32.5,2019-05,2019-05,1,1.2074
15,13,113.75,32.5,2020-05,2020-05,1,1.7597
15,13,113.75,32.5,2025-04,2025-04,1,2.2088
15,14,114.0,32.5,2019-05,2019-05,1,1.0829
15,14,114.0,32.5,2020-05,2020-05,1,1.7487
15,14,114.0,32.5,2025-04,2025-04,1,2.014
15,15,114.25,32.5,2019-05,2019-05,1,1.0369
15,15,114.25,32.5,2020-05,2020-05,1,1.7138
15,15,114.25,32.5,2025-04,2025-04,1,1.9218
15,16,114.5,32.5,2020-05,2020-05,1,1.6272
15,16,114.5,32.5,2025-04,2025-04,1,2.1338
15,17,114.75,32.5,2020-05,2020-05,1,1.5556
15,17,114.75,32.5,2025-04,2025-04,1,2.0657
15,18,115.0,32.5,2020-05,2020-05,1,1.5855
15,18,115.0,32.5,2025-04,2025-04,1,2.0336
15,19,115.25,32.5,2020-05,2020-05,1,1.6793
15,19,115.25,32.5,2022-05,2022-05,1,1.0848
15,19,115.25,32.5,2025-04,2025-04,1,2.011
16,13,113.75,32.25,2019-05,2019-05,1,1.0549
16,13,113.75,32.25,2020-05,2020-05,1,1.7143
16,13,113.75,32.25,2025-04,2025-04,1,2.4117
16,14,114.0,32.25,2020-05,2020-05,1,1.6494
16,14,114.0,32.25,2022-05,2022-05,1,1.0546
16,14,114.0,32.25,2025-04,2025-04,1,2.308
16,15,114.25,32.25,2020-05,2020-05,1,1.6415
16,15,114.25,32.25,2022-05,2022-05,1,1.1005
16,15,114.25,32.25,2025-04,2025-04,1,2.1907
16,16,114.5,32.25,2020-05,2020-05,1,1.7096
16,16,114.5,32.25,2022-05,2022-05,1,1.0682
16,16,114.5,32.25,2025-04,2025-04,1,2.2729
16,17,114.75,32.25,2020-05,2020-05,1,1.6614
16,17,114.75,32.25,2022-05,2022-05,1,1.0946
16,17,114.75,32.25,2025-04,2025-04,1,2.1331
16,18,115.0,32.25,2020-05,2020-05,1,1.6313
16,18,115.0,32.25,2022-05,2022-05,1,1.172
16,18,115.0,32.25,2025-04,2025-04,1,1.9297
16,19,115.25,32.25,2020-05,2020-05,1,1.6231
16,19,115.25,32.25,2022-05,2022-05,1,1.2474
16,19,115.25,32.25,2025-04,2025-04,1,1.8731
16,20,115.5,32.25,2020-05,2020-05,1,1.4653
16,20,115.5,32.25,2022-05,2022-05,1,1.282
16,20,115.5,32.25,2023-04,2023-04,1,1.1588
16,20,115.5,32.25,2025-04,2025-04,1,1.6558
16,21,115.75,32.25,2020-05,2020-05,1,1.4389
16,21,115.75,32.25,2022-05,2022-05,1,1.2604
16,21,115.75,32.25,2023-04,2023-04,1,1.2758
16,21,115.75,32.25,2025-04,2025-04,1,1.4625
17,14,114.0,32.0,2020-05,2020-05,1,1.6074
17,14,114.0,32.0,2022-05,2022-05,1,1.3498
17,14,114.0,32.0,2025-04,2025-04,1,2.3649
17,15,114.25,32.0,2020-05,2020-05,1,1.589
17,15,114.25,32.0,2022-05,2022-05,1,1.3724
17,15,114.25,32.0,2025-04,2025-04,1,2.2806
17,16,114.5,32.0,2020-05,2020-05,1,1.7535
17,16,114.5,32.0,2022-05,2022-05,1,1.2099
17,16,114.5,32.0,2025-04,2025-04,1,2.2578
17,17,114.75,32.0,2020-05,2020-05,1,1.6997
17,17,114.75,32.0,2022-05,2022-05,1,1.3338
17,17,114.75,32.0,2025-04,2025-04,1,2.1084
17,18,115.0,32.0,2020-05,2020-05,1,1.6488
17,18,115.0,32.0,2022-05,2022-05,1,1.4108
17,18,115.0,32.0,2023-04,2023-04,1,1.0546
17,18,115.0,32.0,2025-04,2025-04,1,1.9028
17,19,115.25,32.0,2019-04,2019-04,1,1.0383
17,19,115.25,32.0,2020-05,2020-05,1,1.5396
17,19,115.25,32.0,2022-05,2022-05,1,1.4305
17,19,115.25,32.0,2025-04,2025-04,1,1.7279
17,20,115.5,32.0,2019-04,2019-04,1,1.1834
17,20,115.5,32.0,2020-05,2020-05,1,1.4845
17,20,115.5,32.0,2022-05,2022-05,1,1.4506
17,20,115.5,32.0,2023-04,2023-04,1,1.1011
17,20,115.5,32.0,2025-04,2025-04,1,1.5629
17,21,115.75,32.0,2019-04,2019-04,1,1.2075
17,21,115.75,32.0,2020-05,2020-05,1,1.4515
17,21,115.75,32.0,2022-05,2022-05,1,1.429
17,21,115.75,32.0,2023-04,2023-04,1,1.252
17,21,115.75,32.0,2025-04,2025-04,1,1.371
18,16,114.5,31.75,2020-05,2020-05,1,1.695
18,16,114.5,31.75,2022-05,2022-05,1,1.4788
18,16,114.5,31.75,2025-04,2025-04,1,2.2824
18,17,114.75,31.75,2020-05,2020-05,1,1.5921
18,17,114.75,31.75,2022-05,2022-05,1,1.6133
18,17,114.75,31.75,2025-04,2025-04,1,2.151
18,18,115.0,31.75,2020-05,2020-05,1,1.4932
18,18,115.0,31.75,2022-05,2022-05,1,1.679
18,18,115.0,31.75,2023-04,2023-04,1,1.2622
18,18,115.0,31.75,2025-04,2025-04,1,2.0145
18,19,115.25,31.75,2020-05,2020-05,1,1.427
18,19,115.25,31.75,2022-05,2022-05,1,1.665
18,19,115.25,31.75,2023-04,2023-04,1,1.2476
18,19,115.25,31.75,2025-04,2025-04,1,1.8682
18,20,115.5,31.75,2020-05,2020-05,1,1.4971
18,20,115.5,31.75,2022-05,2022-05,1,1.5192
18,20,115.5,31.75,2023-04,2023-04,1,1.2088
18,20,115.5,31.75,2025-04,2025-04,1,1.7537
19,18,115.0,31.5,2020-05,2020-05,1,1.3085
19,18,115.0,31.5,2022-05,2022-05,1,1.7692
19,18,115.0,31.5,2023-04,2023-04,1,1.0021
19,18,115.0,31.5,2025-04,2025-04,1,2.2577
19,19,115.25,31.5,2020-05,2020-05,1,1.3432
19,19,115.25,31.5,2022-05,2022-05,1,1.7674
19,19,115.25,31.5,2023-04,2023-04,1,1.2253
19,19,115.25,31.5,2025-04,2025-04,1,2.1558
